rep,method,learner,orcl,orcl_neigh,fs_specification,kernel,coef_Conventional,coef_Bias-Corrected,coef_Robust,se_Conventional,se_Bias-Corrected,se_Robust,lower_ci_Conventional,lower_ci_Bias-Corrected,lower_ci_Robust,upper_ci_Conventional,upper_ci_Bias-Corrected,upper_ci_Robust,CI width_Conventional,Coverage_Conventional,centered coef_Conventional,CI width_Bias-Corrected,Coverage_Bias-Corrected,centered coef_Bias-Corrected,CI width_Robust,Coverage_Robust,centered coef_Robust
0,rdrobust,linear,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.11964524128057441,0.13772380967509137,0.13772380967509137,0.019230413598379792,0.019230413598379792,0.021399234716231345,0.08195432321994071,0.10003289161445768,0.09578208033455873,0.1573361593412081,0.17541472773572508,0.17966553901562402,0.07538183612126738,True,0.015580344314474387,0.0753818361212674,True,0.03365891270899135,0.08388345868106528,True,0.03365891270899135
0,rdflex,linear,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.14553504272787463,0.1647998746581134,0.1647998746581134,0.027135402322570418,0.027135402322570418,0.027135402322570418,0.09677080081307612,0.11603563274331491,0.11161546339987086,0.19429928464267313,0.2135641165729119,0.21798428591635596,0.097528483829597,True,0.0414701457617746,0.097528483829597,False,0.06073497769201339,0.1063688225164851,False,0.06073497769201339
0,rdflex,global_linear,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.1361678560206631,0.14780209140578904,0.14780209140578904,0.026668621469910576,0.026668621469910576,0.026668621469910576,0.08699383330014371,0.09862806868526966,0.09553255380743267,0.18534187874118246,0.19697611412630842,0.2000716290041454,0.09834804544103876,True,0.03210295905456306,0.09834804544103876,True,0.043737194439689014,0.10453907519671274,True,0.043737194439689014
0,rdflex,lgbm,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.09940725239749952,0.11512605431243964,0.11512605431243964,0.024346558516006284,0.024346558516006284,0.024346558516006284,0.058813927046898334,0.07453272896183845,0.06740767647357038,0.1400005777481007,0.15571937966304084,0.1628444321513089,0.08118665070120237,True,-0.0046576445686005025,0.08118665070120239,True,0.011061157346339612,0.09543675567773852,True,0.011061157346339612
0,rdflex,stacking_regressor,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.11086787048933884,0.13331142954617978,0.13331142954617978,0.022295563586091954,0.022295563586091954,0.022295563586091954,0.07354504321203845,0.09598860226887938,0.08961292790241686,0.14819069776663923,0.17063425682348016,0.17700993118994268,0.07464565455460079,True,0.006802973523238817,0.07464565455460077,True,0.029246532580079754,0.08739700328752582,True,0.029246532580079754
1,rdrobust,linear,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.10808973439273481,0.12403123997983995,0.12403123997983995,0.01396602045549084,0.01396602045549084,0.01684616449817062,0.08071683729262308,0.09665834287972822,0.09101336428578827,0.13546263149284654,0.15140413707995168,0.15704911567389163,0.05474579420022346,True,0.004024837426634786,0.05474579420022346,True,0.019966343013739923,0.06603575138810336,True,0.019966343013739923
1,rdflex,linear,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.18317474440040582,0.19873973241599163,0.19873973241599163,0.04205591636576851,0.04205591636576851,0.04205591636576851,0.1076605525195654,0.12322554053515121,0.11631165100225671,0.25868893628124623,0.27425392429683204,0.28116781382972655,0.15102838376168082,False,0.0791098474343058,0.15102838376168082,False,0.09467483544989161,0.16485616282746984,False,0.09467483544989161
1,rdflex,global_linear,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.1625378465203618,0.17431968281870758,0.17431968281870758,0.04068662085109784,0.04068662085109784,0.04068662085109784,0.08863728922623304,0.10041912552457882,0.09457537129791942,0.23643840381449055,0.24822024011283633,0.2540639943394957,0.1478011145882575,True,0.05847294955426177,0.1478011145882575,True,0.07025478585260755,0.1594886230415763,True,0.07025478585260755
1,rdflex,lgbm,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.1314772677470329,0.14875235858896177,0.14875235858896177,0.033040269845172464,0.033040269845172464,0.033040269845172464,0.0754405138520709,0.09271560469399978,0.08399461965293896,0.18751402164199488,0.20478911248392376,0.21351009752498457,0.11207350778992398,True,0.027412370780932865,0.11207350778992398,True,0.044687461622861746,0.1295154778720456,True,0.044687461622861746
1,rdflex,stacking_regressor,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.12040924122948275,0.14266986925351102,0.14266986925351102,0.030052133846609774,0.030052133846609774,0.030052133846609774,0.06965311219985411,0.09191374022388238,0.08376876925557872,0.17116537025911138,0.19342599828313967,0.20157096925144333,0.10151225805925727,True,0.01634434426338273,0.10151225805925729,True,0.038604972287411,0.11780219999586461,True,0.038604972287411
