setting,method,duration,error,coef_conventional,coef_robust,coef_bias_corrected,se_conventional,se_robust,se_bias_corrected,ci_0025_conventional,ci_0025_robust,ci_0025_bias_corrected,rep,rep_seed,setting_param_fuzzy,setting_data_remove_unexplained,setting_data_subrule,setting_data_score,setting_data_covariates,ci_0975_conventional,ci_0975_robust,ci_0975_bias_corrected
boundarypoint,rdflex_stacking_lgbm,9.452751159667969,Matrix is not positive definite,,,,,,,,,,17,3162753230,True,True,False,boundarypoint,[],,,
boundarypoint,rdflex_global_linear,0.605189323425293,,-6.516057734562966,-6.683501449010045,-6.683501449010045,6.654080134460033,6.654080134460033,6.614173399475289,-19.55781514834807,-19.647043099484467,-19.72525886279515,33,2437564935,True,True,False,boundarypoint,[],6.5256996792221384,6.280040201464377,6.35825596477506
distance_fuzzy_explained,rdrobust,0.11117005348205566,,0.11436277188762468,0.1256496327884408,0.1256496327884408,0.03563761578943282,0.04204940756037567,0.03563761578943282,0.04451432844546038,0.04323430839885822,0.055801189346276495,20,2514021257,True,True,False,distance,[],0.18421121532978899,0.20806495717802337,0.1954980762306051
boundarypoint,rdflex_global_linear,0.3444075584411621,Matrix is not positive definite,,,,,,,,,,25,359646364,True,True,False,boundarypoint,[],,,
yieldimprovement_fuzzy_explained,oracle_kernel,1.7145164012908936,,0.1180463288330388,,,,,,,,,19,65668574,True,True,False,yieldimprovement,[],,,
distance_intent2treat_explained,rdrobustnocovs,0.025058746337890625,,0.1102715578833644,0.1201708096100429,0.1201708096100429,0.03270731775397202,0.03636065024170595,0.03270731775397202,0.04616639305467174,0.048905244681841625,0.05606564478135023,15,2625698656,False,True,False,distance,[],0.17437672271205706,0.19143637453824416,0.18427597443873556
distance_intent2treat_explained_subrule,rdflex_local_linear,0.44824838638305664,,0.12358330217517113,0.15067754849341047,0.15067754849341047,0.1913665486999233,0.1913665486999233,0.23080468370655902,-0.25148824112240886,-0.30169131903460383,-0.2243939948041695,13,1838952519,False,True,True,distance,[],0.4986548454727511,0.6030464160214248,0.5257490917909904
yieldimprovement_fuzzy_explained,rdflex_local_linear,0.7588329315185547,,0.26204177885815844,0.26372314053583706,0.26372314053583706,0.10187586607151085,0.10187586607151085,0.12260456091747972,0.06236875046417112,0.023422616797229734,0.06405011214184975,42,2475934341,True,True,False,yieldimprovement,[],0.46171480725214575,0.5040236642744444,0.4633961689298244
boundarymindist_fuzzy_unexplained,rdflex_stacking_lgbm,19.689050674438477,,0.2878802609169043,0.32313535214464567,0.32313535214464567,0.12076733439843422,0.12076733439843422,0.14193883751116398,0.05118063498706801,0.0449403426152814,0.08643572621480941,42,2475934341,True,False,False,boundarymindist,[],0.5245798868467405,0.60133036167401,0.5598349780744819
boundarymindist_intent2treat_explained,oracle_kernel,2.3039193153381348,,0.13839268460456056,,,,,,,,,56,1052525787,False,True,False,boundarymindist,[],,,
boundarypoint,rdrobust,0.10988926887512207,,2.1525371979881633,2.23789900288022,2.23789900288022,0.8276527855284396,0.83975550165139,0.8276527855284396,0.5303675466481681,0.5920084638241299,0.6157293515402249,82,2879715912,True,True,False,boundarypoint,[],3.7747068493281586,3.88378954193631,3.8600686542202154
yieldimprovement_fuzzy_explained,rdflex_global_linear,0.6687207221984863,,0.13587428320203254,0.13186863014197356,0.13186863014197356,0.06984861020154293,0.06984861020154293,0.08263130853095202,-0.0010264771631685876,-0.030085758574109722,-0.005032130223227571,68,679280932,True,True,False,yieldimprovement,[],0.2727750435672337,0.29382301885805684,0.2687693905071747
yieldimprovement_intent2treat_explained,rdflex_stacking_lgbm,10.53962230682373,,0.0603022290985509,0.0505960502507968,0.0505960502507968,0.06740472861080941,0.06740472861080941,0.07476484835480278,-0.0718086113663321,-0.09594035983421537,-0.0815147902140862,26,3009756611,False,True,False,yieldimprovement,[],0.1924130695634339,0.19713246033580897,0.1827068907156798
yieldimprovement_fuzzy_explained,rdrobustnocovs,0.013738870620727539,,0.2548416795630897,0.4060343419674117,0.4060343419674117,0.28669397468423985,0.3275901943126272,0.28669397468423985,-0.30706818540265846,-0.23603064057381562,-0.1558755229983364,95,1473388411,True,True,False,yieldimprovement,[],0.8167515445288378,1.0480993245086392,0.9679442069331599
distance_intent2treat_explained_subrule,rdflex_lgbm,1.4398326873779297,,0.028864815501782402,0.03192620259453627,0.03192620259453627,0.08603674807817123,0.08603674807817123,0.1341551025692952,-0.1397641120783789,-0.2310129667835592,-0.13670272498562505,10,1959717888,False,True,True,distance,[],0.19749374308194373,0.29486537197263174,0.2005551301746976
boundarymindist_fuzzy_unexplained,rdflex_stacking_lgbm,19.582989931106567,,0.16837582420626448,0.16768621075886073,0.16768621075886073,0.05422264751009378,0.05422264751009378,0.06461137802493495,0.06210138794007024,0.04105023683848552,0.06141177449266648,44,1760751290,True,False,False,boundarymindist,[],0.2746502604724587,0.29432218467923593,0.27396064702505496
boundarymindist_intent2treat_explained,rdrobust,0.08889532089233398,,0.07996648682449413,0.06927144354476115,0.06927144354476115,0.03763467750974685,0.0442908300599833,0.03763467750974685,0.006203874335610746,-0.017536988218190108,-0.0044911689441222286,21,1091097415,False,True,False,boundarymindist,[],0.15372909931337753,0.15607987530771242,0.14303405603364455
boundarypoint,rdflex_local_linear,0.5068020820617676,Matrix is not positive definite,,,,,,,,,,85,520597901,True,True,False,boundarypoint,[],,,
boundarymindist_intent2treat_explained,rdflex_stacking_lgbm,10.7808096408844,,0.0844183199897244,0.07572040030847323,0.07572040030847323,0.03913286388460104,0.03913286388460104,0.046745234949597855,0.007719316163998166,-0.015898576641601575,-0.0009786035172530128,62,3683793255,False,True,False,boundarymindist,[],0.16111732381545063,0.16733937725854803,0.15241940413419947
boundarypoint,rdflex_stacking_lgbm,17.79521107673645,,3.940298698961848,4.020502855690333,4.020502855690333,3.638940748188801,3.638940748188801,3.6036770227017305,-3.1918941093634396,-3.0425743207195897,-3.111689952634954,29,3574899382,True,True,False,boundarypoint,[],11.072491507287136,11.083580032100256,11.15269566401562
boundarymindist_fuzzy_unexplained,rdrobust,0.09807372093200684,,0.1657556876809284,0.14497046181774506,0.14497046181774506,0.061069366135439486,0.07695099319192947,0.061069366135439486,0.046061929496776996,-0.005850713413023595,0.025276703633593647,55,872572239,True,False,False,boundarymindist,[],0.2854494458650798,0.29579163704851374,0.2646642200018965
distance_intent2treat_explained_subrule,oracle_kernel,0.7907488346099854,,0.15396960149774086,,,,,,,,,85,520597901,False,True,True,distance,[],,,
