setting,method,duration,error,coef_conventional,coef_robust,coef_bias_corrected,se_conventional,se_robust,se_bias_corrected,ci_0025_conventional,ci_0975_conventional,ci_0025_robust,ci_0975_robust,ci_0025_bias_corrected,ci_0975_bias_corrected,rep,rep_seed,setting_param_fuzzy,setting_data_remove_unexplained,setting_data_subrule,setting_data_score,setting_data_covariates
yieldimprovement_fuzzy_explained,rdflex_local_linear,1.452207088470459,,-0.06944372570065109,-0.06575265732971301,-0.06575265732971301,0.005287988458545687,0.005287988458545687,0.008879486880019967,-0.0798079926300641,-0.05907945877123807,-0.08315613181574807,-0.048349182843677944,-0.07611692425912603,-0.05538839040029999,47,1940935336,True,True,False,yieldimprovement,[]
yieldimprovement_intent2treat_explained,rdflex_lgbm,3.119318962097168,,-0.025597499033980405,-0.026430311360213544,-0.026430311360213544,0.003312381963586019,0.003312381963586019,0.005612134836156264,-0.03208964838564907,-0.019105349682311742,-0.03742989351546242,-0.01543072920496467,-0.03292246071188221,-0.019938162008544882,8,153842668,False,True,False,yieldimprovement,[]
distance_intent2treat_explained_subrule,oracle_neighbour,3.552436828613281e-05,,-0.03960147821754956,,,,,,,,,,,,89,73930389,False,True,True,distance,[]
boundarymindist_intent2treat_explained,rdflex_stacking_lgbm,46.30362057685852,,-0.11920659024838372,-0.12489287273451194,-0.12489287273451194,0.02684277655055113,0.02684277655055113,0.029020246396487023,-0.17181746553252025,-0.0665957149642472,-0.18177151049410478,-0.0680142349749191,-0.17750374801864846,-0.07228199745037542,55,872572239,False,True,False,boundarymindist,[]
boundarymindist_intent2treat_unexplained,oracle_kernel,28.77401614189148,,-0.062202676018697355,,,,,,,,,,,,57,1538996468,False,False,False,boundarymindist,[]
yieldimprovement_intent2treat_explained_subrule,oracle_neighbour,5.269050598144531e-05,,-0.042996140337813626,,,,,,,,,,,,34,3216405119,False,True,True,yieldimprovement,[]
boundarymindist_intent2treat_unexplained,oracle_kernel,30.521265745162964,,-0.06765765207654238,,,,,,,,,,,,48,3097302936,False,False,False,boundarymindist,[]
boundarymindist_intent2treat_explained,rdflex_stacking_lgbm,45.42220163345337,,-0.05825648702818353,-0.0590442640499652,-0.0590442640499652,0.016485056915325067,0.016485056915325067,0.01870668664684966,-0.09056660486531362,-0.025946369191053434,-0.09570869614786688,-0.022379831952063514,-0.0913543818870953,-0.026734146212835104,95,1473388411,False,True,False,boundarymindist,[]
boundarymindist_intent2treat_explained,rdrobustnocovs,0.2056584358215332,,-0.05821766913076287,-0.05752708144557317,-0.05752708144557317,0.010338341929984469,0.011784035023580663,0.010338341929984469,-0.07848044697339274,-0.037954891288133,-0.08062336568434988,-0.03443079720679646,-0.07778985928820303,-0.0372643036029433,88,1812863563,False,True,False,boundarymindist,[]
boundarymindist_intent2treat_unexplained,rdrobustnocovs,0.22165775299072266,,-0.012720488984462208,-0.018312229998275975,-0.018312229998275975,0.012693927006344289,0.014972624359685272,0.012693927006344289,-0.03760012873927736,0.012159150770352945,-0.0476580344973062,0.011033574500754244,-0.043191869753091125,0.006567409756539178,6,3271189345,False,False,False,boundarymindist,[]
boundarymindist_intent2treat_unexplained,rdrobustnocovs,0.2096693515777588,,-0.03226093164725552,-0.03725147784065086,-0.03725147784065086,0.012759792999268483,0.014396164587499346,0.012759792999268483,-0.05726966637600806,-0.0072521969185029775,-0.06546744194766049,-0.00903551373364122,-0.0622602125694034,-0.012242743111898317,56,1052525787,False,False,False,boundarymindist,[]
yieldimprovement_intent2treat_explained_subrule,rdflex_lgbm,0.0036628246307373047,Matrix is not positive definite,,,,,,,,,,,,,57,1538996468,False,True,True,yieldimprovement,[]
boundarymindist_intent2treat_explained,rdflex_local_linear,0.7491843700408936,,-0.06777454522154702,-0.06840526298384875,-0.06840526298384875,0.01981164528782774,0.01981164528782774,0.022419608221506227,-0.10660465646017206,-0.02894443398292198,-0.11234688764549905,-0.024463638322198444,-0.10723537422247378,-0.029575151745223703,89,73930389,False,True,False,boundarymindist,[]
yieldimprovement_intent2treat_explained_subrule,rdflex_global_linear,0.0038979053497314453,Matrix is not positive definite,,,,,,,,,,,,,85,520597901,False,True,True,yieldimprovement,[]
yieldimprovement_intent2treat_explained_subrule,oracle_kernel,5.162513017654419,,-0.055983349145624334,,,,,,,,,,,,69,2829083382,False,True,True,yieldimprovement,[]
boundarypoint,rdflex_lgbm,0.004214048385620117,Matrix is not positive definite,,,,,,,,,,,,,38,2999304840,True,True,False,boundarypoint,[]
boundarymindist_intent2treat_explained,rdrobustnocovs,0.1751689910888672,,-0.0831716167245079,-0.08676612199429579,-0.08676612199429579,0.014473115590203043,0.016917846416029614,0.014473115590203043,-0.11153840202539103,-0.05480483142362477,-0.11992449166569386,-0.05360775232289771,-0.11513290729517892,-0.05839933669341266,47,1940935336,False,True,False,boundarymindist,[]
yieldimprovement_intent2treat_explained_subrule,rdflex_lgbm,0.0035247802734375,Matrix is not positive definite,,,,,,,,,,,,,20,2514021257,False,True,True,yieldimprovement,[]
yieldimprovement_intent2treat_explained,rdflex_lgbm,3.1174442768096924,,-0.02442928685272247,-0.017914604864336804,-0.017914604864336804,0.003242052850629481,0.003242052850629481,0.005809285944503968,-0.03078359367593167,-0.01807498002951327,-0.02930059609145933,-0.006528613637214275,-0.024268911687546003,-0.011560298041127605,69,2829083382,False,True,False,yieldimprovement,[]
yieldimprovement_fuzzy_explained,rdrobustnocovs,0.3346717357635498,,-0.07321560472699985,-0.07335983088288646,-0.07335983088288646,0.00527826730252339,0.008114225369875867,0.00527826730252339,-0.08356081854072107,-0.06287039091327863,-0.08926342037028435,-0.057456241395488564,-0.08370504469660768,-0.06301461706916524,14,2740623656,True,True,False,yieldimprovement,[]
distance_fuzzy_explained,rdrobustnocovs,0.19088125228881836,,-0.07778517759008335,-0.07850799963118209,-0.07850799963118209,0.017911950746489,0.021140623217796486,0.017911950746489,-0.11289195594605714,-0.04267839923410958,-0.11994285974879447,-0.037073139513569706,-0.11361477798715586,-0.04340122127520831,61,1498151398,True,True,False,distance,[]
yieldimprovement_fuzzy_explained,rdrobustnocovs,0.3370697498321533,,-0.06282302110104433,-0.05586138955769744,-0.05586138955769744,0.005354480521629378,0.008760255429009125,0.005354480521629378,-0.07331761007935915,-0.05232843212272951,-0.07303117469392681,-0.03869160442146807,-0.06635597853601226,-0.04536680057938262,91,1334706736,True,True,False,yieldimprovement,[]
distance_fuzzy_explained,rdrobust,1.3500444889068604,,-0.07637554899311053,-0.0814842641568159,-0.0814842641568159,0.018907995965033505,0.02279900518163762,0.018907995965033505,-0.11343454010440486,-0.03931655788181619,-0.12616949319616771,-0.03679903511746409,-0.11854325526811023,-0.04442527304552156,27,4285362377,True,True,False,distance,[]
yieldimprovement_fuzzy_explained,rdflex_global_linear,1.4551517963409424,,-0.0785867070091138,-0.09118834368099776,-0.09118834368099776,0.005576798144288415,0.005576798144288415,0.009089867775122199,-0.0895170305209689,-0.06765638349725869,-0.10900415714446851,-0.07337253021752702,-0.10211866719285287,-0.08025802016914266,72,975584376,True,True,False,yieldimprovement,[]
distance_fuzzy_explained,oracle_kernel,0.8233702182769775,,-0.05199648397742873,,,,,,,,,,,,46,606924150,True,True,False,distance,[]
